filename,label,location_date,cloud_frac
a0fd97bd908cadbc2f89fe90390c4992/response.npy,,ayetoro @ 2025-01-15,0.000
c3fbff59a1777281af042bbb5d7ba32d/response.npy,,digitari @ 2025-01-15,0.000
f18e39f9b21b902eb92ffb751529b0aa/response.npy,,digitari @ 2025-01-15,0.000
45699983f6ae451a004285cd18e01f0c/response.npy,,digitari @ 2025-06-15,0.000
44ba92ecb7be2437e302140fa2bd0b6c/response.npy,,ayetoro @ 2025-01-15,0.000
c6c5f73276ca6d4204683862a61d7a75/response.npy,,nembe @ 2025-01-15,0.000
d7b03d9aea1bae2153168ac7146ee78b/response.npy,,san_bartholomew_bay @ 2025-06-15,0.000
3752b072ff204632daafed14e04ba38b/response.npy,,forcados @ 2025-01-15,0.000
bb66de03d76b428fc960bd6bb1bcd617/response.npy,,forcados @ 2025-01-15,0.000
59abf3564965bb9d52900edc863efbfe/response.npy,,koluama @ 2025-01-15,0.000
ff2ec4cd2fc9f7c3f13eaabcbc96abf4/response.npy,,koluama @ 2025-01-15,0.000
10ae7b12232a77656ccbd76c651a5a10/response.npy,,opobo @ 2025-01-15,0.000
594a3bcc750457545bc0e4686530ed9d/response.npy,,ayetoro @ 2025-12-15,0.000
b288ac09f82b6615d2fe19b6410a7da4/response.npy,,ayetoro @ 2025-12-15,0.000
a630c2816339ec29cdbba1ce4402504e/response.npy,,san_bartholomew_bay @ 2025-01-15,0.000
cebfd21850525384c156795b4134efeb/response.npy,,san_bartholomew_bay @ 2025-01-15,0.000
4af2c5482478a84b9bf1282fbc7a8d57/response.npy,,ayetoro @ 2025-01-15,0.000
8c53fecf565efe3272b8bae7334da91d/response.npy,,ayetoro @ 2025-01-15,0.000
5f1d47697905e54e0b355234eed14370/response.npy,,5f1d47697905,0.000
45f349684f7e849cf92eb74831678209/response.npy,,escravos @ 2025-01-15,0.000
4a9f9e024d06a3f9e7d96ec58dc8c2c0/response.npy,,escravos @ 2025-01-15,0.000
d5387129e7d17495d80b4a4dab5a948f/response.npy,,koluama @ 2025-06-15,0.000
35c32219e3ecd5b550b033084b56d4e2/response.npy,,nembe @ 2025-01-15,0.001
5dae6688bc6b9b96047b9b38634555df/response.npy,,awoye @ 2025-12-15,0.001
cf25fe0495eade131602823a7d197dd8/response.npy,,awoye @ 2025-12-15,0.001
5123a42a557b8e22a7be1cd2f96a3c4a/response.npy,,forcados @ 2025-12-15,0.001
71a2704beadc5a6adc16f8c2fd4e08fb/response.npy,,forcados @ 2025-12-15,0.001
b9592784f933ab1fa29eed579f92e14c/response.npy,,akassa @ 2025-01-15,0.002
58e76d2bbe815dc869d827ed8673621f/response.npy,,koluama @ 2025-12-15,0.002
b71baaea2fa18a3babaa09f0b80f3d92/response.npy,,koluama @ 2025-12-15,0.002
a2cb110ac65f632129e3a421e8b60378/response.npy,,digitari @ 2025-12-15,0.002
02ed86a852acc279802b6f8d8da1df00/response.npy,,nembe @ 2025-12-15,0.002
68279a28961589b9febc25432e655dee/response.npy,,awoye @ 2025-01-15,0.003
bb2e3c0dd8c1c16708db4782adb75b1b/response.npy,,forcados @ 2025-12-15,0.003
88c36bc49e0110873a8e0ffc36d6bc15/response.npy,,escravos @ 2025-01-15,0.003
a3140ed2c8d512de767143b12c1bb6f0/response.npy,,forcados @ 2025-12-15,0.004
1606a59f5ddc5c2bbbcd28084eeed1b9/response.npy,,brass @ 2025-01-15,0.004
f4525414bfd77a24c76fc4878e1ea9b6/response.npy,,brass @ 2025-01-15,0.004
f2543fd4ecde3d8629927856cc489014/response.npy,,escravos @ 2025-06-15,0.005
71d697e0d7bf134ea166def67997fb8e/response.npy,,71d697e0d7bf,0.005
cb84f489d54e265512fb06eb0d5da079/response.npy,,forcados @ 2025-01-15,0.005
0deabb83f556e22c41cb209f00eadc3f/response.npy,,forcados @ 2025-01-15,0.006
701317361cf0a0fe81682a384e3b6d7d/response.npy,,bonny_island @ 2025-01-15,0.006
517c68ea848df46e5c1514f196743df6/response.npy,,nembe @ 2025-12-15,0.006
3f0aad2b4737a8aabb7230473f53fc08/response.npy,,escravos @ 2025-01-15,0.007
36a6bf12b3d634dac26e49ee063b3108/response.npy,,ayetoro @ 2025-12-15,0.009
8e304ae882615fdfe8b34f48c402c40f/response.npy,,forcados @ 2025-06-15,0.013
420e8ba6b1f1a3c216fa03269d97d25b/response.npy,,akassa @ 2025-12-15,0.019
4922438d9ca0861c990235c5187f8d11/response.npy,,opobo @ 2025-01-15,0.020
951d68b356b2786ec9b7966ff476b58b/response.npy,,brass @ 2025-01-15,0.024
cb506ab09747d02f237560741d430c36/response.npy,,brass @ 2025-12-15,0.026
b8384fb76ff3702bd69f3566f89c36be/response.npy,,digitari @ 2025-12-15,0.026
c16b9810831314bfa988050816865beb/response.npy,,bonny_island @ 2025-01-15,0.026
e6dbdece6724823e29c6310d9a5f655d/response.npy,,bonny_island @ 2025-01-15,0.032
14893a44181d0ccd19be0d245b6e24cd/response.npy,,san_bartholomew_bay @ 2025-12-15,0.033
b9d01b3b98207dfd6a51bc243a49b1e4/response.npy,,ayetoro @ 2025-12-15,0.038
f6a3ecf70bf5a63e59c7d39283409f02/response.npy,,f6a3ecf70bf5,0.053
10a3f4ae565ebb6d3568e12680fd2b00/response.npy,,brass @ 2025-01-15,0.054
e58898751a20d1b8d34a63b65a8216ac/response.npy,,akassa @ 2025-12-15,0.055
df0799b41a10f4645b6467ce57a31294/response.npy,,escravos @ 2025-12-15,0.056
4942cf05457e169808107603ec293655/response.npy,,brass @ 2025-12-15,0.057
2a03589f30050427841ed7918fa949c4/response.npy,,bonny_island @ 2025-12-15,0.065
7456ebadd297da9ff0eb53c461892332/response.npy,,7456ebadd297,0.069
8755786dee2583cb3f50e3e27b5192b5/response.npy,,brass @ 2025-12-15,0.071
d822bdb6718ce25c8d97e9585244bbf8/response.npy,,akassa @ 2025-06-15,0.072
bbc5356cf3f0915d85c156c57cd38bbc/response.npy,,awoye @ 2025-01-15,0.075
57d944d05194d1c83b400b90bcde52c5/response.npy,,escravos @ 2025-12-15,0.078
e78ab4a8837a00e6ae793659019828ab/response.npy,,escravos @ 2025-12-15,0.078
6d1be649eb6f79538bfa9535a0baf7c9/response.npy,,brass @ 2025-06-15,0.083
04d4c8c3314489908300098a5309593f/response.npy,,escravos @ 2025-12-15,0.086
537fa99f965b293095a8a849e41588e4/response.npy,,san_bartholomew_bay @ 2025-12-15,0.087
b368d278a28022ee3779bc0a2494b880/response.npy,,bonny_island @ 2025-01-15,0.094
9a953837e33e16ca754e47c98d115026/response.npy,,bonny_island @ 2025-12-15,0.100
3df182668938ce9830caca7d66ee44a0/response.npy,,brass @ 2025-12-15,0.103
5afa49f29a07ee4febab2857a122f9e9/response.npy,,opobo @ 2025-12-15,0.115
6bd601453536a2741a3ad444782253ff/response.npy,,nembe @ 2025-06-15,0.145
